review_title,hotel_name,avg_rating,nationality,rating,review_text,tags
Very good,Hotel Minsk,8.6,Lithuania,8.3,"Slow process on reception,

Great location, walking distance to the heart of the Minsk and just next to underground. Decent breakfast. Bath. View to the square from the window",['Business trip~Solo traveller~Superior Double Room~Stayed 1 night']
Super,Prince d'Orange Bed & Breakfast,9.5,Germany,10.0,"None,

Owner of the house was very caring and took very good care of us during our stay",['Leisure trip~Family with young children~Double Room with Garden View~Stayed 2 nights~Submitted via mobile']
Pleasant,Hotel Castel,7.9,Luxembourg,6.3,"The building is a little bit old. The furniture in the rooms should be renewed. ,

Close to the train station, was clean and the personal is kind.",['Leisure trip~Solo traveller~Comfort Double Room~Stayed 3 nights~Submitted via mobile']
. very good breakfast and mini-bar included in the price,Motel One Brussels,8.5,United Kingdom,9.0,,['']
Great boutique hotel - fantastic breakfast,Hotel Banks,8.1,United Kingdom,8.3,"Lights in room could be better ,

Breakfast was great . Location perfect , very clean friendly staff would recommend",['Leisure trip~People with friends~Superior double room with French Balcony~Stayed 2 nights~Submitted via mobile']
Very good,Flandria Hotel,7.6,Netherlands,8.0,"Nice hotel in the historical center. Simple but very atmospheric breakfasts (cozy interior and music in the buffet).,

The room was a humid and not ventilated well, as a result there's a bad smell of the carpet and in the bathroom some smell of moisture",['Leisure trip~Couple~Double Room with Bathroom~Stayed 2 nights~Submitted via mobile']
Exceptional,B&B Hildegarden,9.4,France,10.0,"The lack of time, to enjoy more the company of the lovely hosts and the surroundings.,

The accommodation was quiet, lovely and my little family and I had a very good night sleep. The room was cosy and with all the conviences to make your stay very agreable. The breakfast  had in the morning of the Catholic Easter was perfect and the host suprised us with chocolate egs. We really appreciated the stay in Gierle and we will definetly put the location on our favorites places to visit again.",['Leisure trip~Family with young children~Basic Triple Room - Basement~Stayed 1 night~Submitted via mobile']
Comfortable and spacious room,Juliette's,9.2,United Kingdom,10.0,Booked the room with the balcony so was lovely to relax in the evening out in the sun,['Leisure trip~Couple~Deluxe Double Room with Balcony~Stayed 1 night~Submitted via mobile']
Great,B&B Den Engel,9.7,Germany,10.0,It was very nice and a great place to stay with our two kids. The owners were awesome.,['Leisure trip~Family with young children~Deluxe Suite~Stayed 2 nights~Submitted via mobile']
Fantastic,B&B Bariseele,9.7,United Kingdom,10.0,"Nothing,

Everything was fantastic, exceptionally clean, Benny couldn’t do enough for you, it was like home from home, great location to explore Brugge, may I suggest arranging parking with the B&B/Hotel, as street parking is metered.",['Leisure trip~Couple~Suite with Balcony~Stayed 5 nights~Submitted via mobile']
Exceeded expectations in every way.,La lune en bulles,9.5,United States,10.0,The land lady and gentlemen were extremely nice. Made it feel like coming home.  Very serene and picturesque neighborhood.,['Leisure trip~Couple~Double Room with Private Bathroom~Stayed 1 night~Submitted via mobile']
Exceptional,Spits-Lucie B&B,9.4,Belgium,10.0,"everything,

Everything",['Couple~Family Cabin on Boat~Stayed 1 night~Submitted via mobile']
Very good,Theater Hotel,8.4,South Africa,8.0,There are no comments available for this review,['Leisure trip~Couple~Superior Twin Room~Stayed 4 nights']
Good,Century Hotel Antwerpen Centrum,6.9,Uganda,7.0,"Beds are not comfortable at all,

Excellent location for any transport",['Business trip~Couple~Comfort Twin~Stayed 6 nights~Submitted via mobile']
Very good,Hotel 't Putje,8.0,Sweden,8.3,There are no comments available for this review,['Leisure trip~Group~Economy Double Room~Stayed 7 nights~Submitted via mobile']
Excellent location,"Hotel Indigo Antwerp City Centre, an IHG Hotel",8.7,Australia,10.0,1 min walk from train station.  right next to shops and restaurants and entrance to China Town.,['Leisure trip~Couple~Standard Queen Room~Stayed 4 nights~Submitted via mobile']
Exceptional,"Holiday Inn Hasselt, an IHG Hotel",8.4,Montserrat,10.0,There are no comments available for this review,['Business trip~Solo traveller~Deluxe King Room~Stayed 2 nights']
Great getaway in historical Bruges,Hotel Augustyn Brugge,8.6,Belgium,10.0,"Really nice getaway even in Corona times. Great breakfast in the room - in the historical center, nicely decorated. We really enjoyed our stay.",['Leisure trip~Family with young children~Triple Room~Stayed 1 night~Submitted via mobile']
Exceptional,Maison d'hôtes Îles Sont d'Ailleurs,9.3,Slovakia,9.6,Nice place close to the airport but in middle of a nature.,['Leisure trip~Family with young children~Family Room with Private Bathroom~Stayed 1 night~Submitted via mobile']
"Lovely house and garden, excellent breakfast and host",B&B Ter Vesten,9.0,United Kingdom,9.6,"Nothing ,

Breakfast",['Leisure trip~Couple~Double Room~Stayed 1 night~Submitted via mobile']
Easy busy stay at a quiet Liege spot.,Liège Youth Hostel,8.3,United States,8.0,Easy. Quiet. Nicely keept.,['Leisure trip~Solo traveller~Single Room~Stayed 1 night~Submitted via mobile']
All staff very attentive and helpful,Motel One Brussels,8.5,United Kingdom,9.0,,['']
Superb,ibis budget Antwerpen Port,7.3,Belgium,9.2,There are no comments available for this review,['Business trip~Solo traveller~Standard Triple Room~Stayed 1 night~Submitted via mobile']
Fabulous,Hotel Les Nuits,8.4,United Kingdom,8.8,"Morning staff didn’t smile.,

Location",['Solo traveller~Standard Double Room~Stayed 1 night~Submitted via mobile']
Good,Flandria Hotel,7.6,Finland,7.0,"Bathroom didn't have heater, so it was too cold.",['Leisure trip~Solo traveller~Double Room with Bathroom~Stayed 2 nights~Submitted via mobile']
The worst thing is making us get herpes.,Hotel Mirabeau,7.0,China,6.3,"The room is old and the facilities are kind of broken. It’s newly painted so the room is full of the bad smell of paint, which really made us uncomfortable. The most important, the hotel may not be clean. All of us got herpes on our body especially on feet, hands and arm. This really annoyed us.,

The location is pretty good, really in the city center, close to many attractions. All the staffs are nice, polite and willing to offer help.",['Leisure trip~Group~Triple Room~Stayed 2 nights~Submitted via mobile']
Pleasant,Thon Hotel Brussels City Centre,8.3,Russia,6.7,There are no comments available for this review,['Leisure trip~Group~Standard Twin Room~Stayed 1 night']
Very good,Hotel Banks,8.1,Netherlands,8.3,There are no comments available for this review,['Leisure trip~Couple~Superior double room with French Balcony~Stayed 1 night~Submitted via mobile']
Exceptional,B&B La Corderie,9.7,United States,10.0,There are no comments available for this review,['Solo traveller~Superior Double or Twin Room~Stayed 1 night~Submitted via mobile']
Exceptional,Begijnhof Hotel,8.3,United States,9.6,There are no comments available for this review,['Business trip~Solo traveller~Suite~Stayed 2 nights~Submitted via mobile']
Great stop on our bicycle trip in Belgium!,La Roseraie. Gaume-Ardenne-lacuisine sur Semois.,8.8,United States,10.0,"The bar didn't open until 9:30 pm. Obviously, this was only a minor inconvenience!,

The staff were all very friendly. The property was immaculate, inside and out.",['Leisure trip~People with friends~Comfort Double or Twin Room~Stayed 1 night~Submitted via mobile']
Perfect place,Villa-Valentine,9.0,Netherlands,9.0,"We missed having a balcony or so (only a minor thing though) and it could get warm in the attic, but that was solved by opening the windows and using the fan. ,

Large apartment with great beds, great kitchen and nice living room close to the city centre. Very friendly reception and supermarket Aldi close by. Also a few restaurants close by. Perfect shower as well.",['Leisure trip~Family with young children~Duplex Apartment~Stayed 3 nights~Submitted via mobile']
Unpleasant surprise,Marivaux Hotel,8.5,Luxembourg,6.7,"The hotel has disappointed us. Once we entered our room, we noticed that the floor in the shower is full of water, because it was dripping from a few spots around lights (!) on the ceiling. We asked for another room, the hotel staff wasn’t even surprised. We realised that it must be something common for them, because in the new room the ceiling also had old traces of water. Everything in the rooms, furniture, towels, looks old, there was no fridge. The breakfast was also disappointing: the choice was very poor, the quality of food is not perfect either. Probably a few years ago this hotel indeed deserved its 4 stars, but not anymore. Only its location makes the hotel attractive, but for the rest it requires significant changes.",['Leisure trip~Couple~Standard Double or Twin Room~Stayed 2 nights~Submitted via mobile']
Very good,Stay in Bruges,8.0,Netherlands,8.0,There are no comments available for this review,['Leisure trip~Couple~Two-Bedroom Apartment~Stayed 1 night~Submitted via mobile']
Exceptional,Aparthotel Acropolis,9.1,Belgium,10.0,"Very clean, very friendly staff and lots of space. We felt very comfortable for our weekend stay. The children's playroom was a very welcome bonus. Fantastic, would book again.",['Leisure trip~Family with young children~King Studio with Sofa Bed~Stayed 2 nights~Submitted via mobile']
Exceptional,Santa Fe - Lutrebois,8.8,United States,10.0,"Nice B&B in the country, but still close to town.  We had two rooms, very nice and private.  Marc was a great host, always asking if we needed anything, he even swapped foreign money with my wife as they both collect money from around the world.  Breakfast was nice. We even loved visiting the cows across the street.",['Leisure trip~Family with young children~Deluxe Double Room~Stayed 1 night~Submitted via mobile']
Exceptional,B&B Jadis et Naguère,9.6,United States,10.0,"Nothing. It was perfect.,

Wonderful hospitality. Gorgeous b&b.",['Leisure trip~Family with young children~Family Room~Stayed 2 nights~Submitted via mobile']
Exceptional,Acropolis,9.0,Serbia,10.0,"Eveirhing was Perfect,

Interieur, staff very friendly.",['Leisure trip~Couple~Deluxe Double Room~Stayed 2 nights~Submitted via mobile']
Fabulous,Motel One Brussels,8.9,Japan,8.8,There are no comments available for this review,['Leisure trip~Solo traveller~Standard Double Room~Stayed 1 night~Submitted via mobile']
Superb,Studio 17,9.2,United Kingdom,9.0,Mosquitos!,['Leisure trip~Family with young children~Large Two-Bedroom Apartment~Stayed 1 night~Submitted via mobile']
Okay,Golden Tree Hotel,8.2,Greece,5.8,"Very small room with locked windows. I felt like I was staying in a jail. Nice bed, clean room uncomfortable pillows. Not as described as a deluxe double room,

Nice location",['Leisure trip~Couple~Deluxe Double Room~Stayed 2 nights']
Okay accommodation,Tulip Inn Antwerpen,7.5,Belgium,5.0,"See above ,

The property was extremely clean and in a good location. Parking was free, which was great ! 
But the bed wasn't very big and it wasn't very comfortable. My husband didn't sleep well. 
The room wasn't very big either. 
The staff at reception was extremely unfriendly. The cleaning lady was very nice and polite though ! But unfriendly staff at reception/check in kind of spoiled it.
Next time I will stay in an Ibis budget because it's much better value for money.",['Leisure trip~Couple~Double Room~Stayed 1 night~Submitted via mobile']
Good,Hotel Du Congres,8.0,Slovakia,7.5,"That I was charged twice for my stay (by mistake) but the money was returned back to my account.,

a good value for money",['Business trip~Solo traveller~Twin Room~Stayed 1 night']
Liked.,Victoria Hotel & Business centre Minsk,8.2,Lithuania,9.0,"Conditioning system was too loud.,

Easy to find, available parking places. Weekend breakfast starts at 7, many choices. Nice, clean and comfortable room. Pet friendly with additional cost.",['With a pet~Leisure trip~Solo traveller~Standard Single Room~Stayed 2 nights']
Quiet and fair,Hotel Made In Louise,9.2,Italy,8.8,"Room a little small,

The quiet place, the position, the cleaness, the breakfast",['Business trip~Solo traveller~Single Room~Stayed 1 night']
Comfortable and warm.,Motel One Brussels,8.5,United Kingdom,9.0,,['']
A bit disappointing versus the price and other nearby experience,Van der Valk Hotel Brussels Airport,8.1,Belgium,5.4,There are no comments available for this review,['Business trip~Solo traveller~Superior King or Twin Room~Stayed 2 nights']
Very good,Charl's,8.4,Luxembourg,8.0,There are no comments available for this review,['Leisure trip~Family with young children~Junior Suite~Stayed 2 nights~Submitted via mobile']
Exceptional,B&B Fresco,9.1,United Kingdom,10.0,"Not applicable ,

Warm welcome, very helpful host, Erik. Also spacious accommodation. Really exceptional breakfast, freshly prepared orange juice, plus local cheese and ham, no cost cutting as some places do. A real pleasure to stay.",['Leisure trip~Couple~Double Room~Stayed 2 nights~Submitted via mobile']
Exceptional,Het kleine paradijs,9.6,United Kingdom,9.6,"New, clean, spacious self-contained apartment, with everything you could want or need. Very nice owners. Excellent",['Leisure trip~Couple~Double Room with Private Bathroom~Stayed 1 night~Submitted via mobile']
"Great location, staff and comfort",Institute Of Cultural Affairs,8.7,Ireland,9.6,"It was a little noisy outside my room,

Generally very good. Very helpful staff",['Business trip~Solo traveller~Single Room with Shared Shower and Toilet~Stayed 1 night']
"Very nice area close to European institutions, clean B&B but overpriced",EU Guesthouse,8.9,France,8.0,"Very small room: the price is quite expensive for such a narrow room.,

Very polite owner and staff, nice neighbourhood, clean facilities",['Business trip~Solo traveller~Budget Single Room~Stayed 1 night']
Somewhere you can go one more time!,Van Der Valk Hotel Brugge Oostkamp,8.7,Luxembourg,9.0,"Noise because of the location near the highway, limited card of restauration because of transition works in the kitchen,

Very attentive staff, beautiful rooms and reception and bar/ restauration.",['Leisure trip~Couple~Comfort Double or Twin Room~Stayed 3 nights~Submitted via mobile']
Exceptional,Motel One Brussels,8.9,Cyprus,10.0,There are no comments available for this review,['Leisure trip~People with friends~Standard Double Room~Stayed 1 night~Submitted via mobile']
Exceptional,Steigenberger Wiltcher's,8.7,United States,10.0,AmaZing and helpful concierge,['Leisure trip~Couple~Superior Room~Stayed 1 night~Submitted via mobile']
Passable,Hotel Gasthof 't Zweerd,7.7,United Kingdom,5.4,"Needs a good facelift! Room was tatty whole hotel tatty. ,

Central location",['Leisure trip~Couple~Family Room (2 Adults + 2 Children)~Stayed 2 nights~Submitted via mobile']
Poor,Hotel Corner House,7.7,Netherlands,3.8,There are no comments available for this review,['Leisure trip~People with friends~Twin Room~Stayed 2 nights~Submitted via mobile']
Fair,Hotel Koffieboontje,7.5,United Arab Emirates,7.0,"The first room I stayed, there were two bed bugs in the bed.,

After I checked in, I saw two bed bugs in the bed. I told the staff and they changed the room for me. It was good that they immediately deal with the situation. The next day, the staff told me they have contacted the company to deal with the bed begs.",['Leisure trip~Solo traveller~Standard Double or Twin Room~Stayed 1 night~Submitted via mobile']
Very good,B&B Ter Vesten,9.0,United Kingdom,8.0,"Spiral staircase was very hard for one of our friends as he had health issues,

Location and the breakfast was amazing",['Leisure trip~Group~Quadruple Room~Stayed 1 night~Submitted via mobile']
Fabulous,Hotel Minsk,8.6,Russia,8.8,There are no comments available for this review,['Leisure trip~Couple~Single Room~Stayed 1 night~Submitted via mobile']
Good value for money during February,Thon Hotel Brussels City Centre,8.3,Germany,7.9,"1. The door of toilet was broken and even though I informed the staff no one came to fix it.
2. The AC was broken,

1. Great location
2. Clean
3. Friendly staff
4. Meet expectations",['Leisure trip~Solo traveller~Standard Double Room~Stayed 4 nights~Submitted via mobile']
Very good,Hotel Made In Louise,9.2,Portugal,8.0,"My car didn't fit in the garage. Only charging spot for Tesla.,

The receptionist was very nice and helpful.",['Leisure trip~Couple~Standard Double Room~Stayed 1 night~Submitted via mobile']
Superb,Golden Tree Hotel,8.2,Germany,9.0,There are no comments available for this review,['Leisure trip~Couple~Budget Double Room~Stayed 1 night~Submitted via mobile']
Great experience!,Steigenberger Wiltcher's,8.7,France,10.0,"Great room, beautiful facilities and well located. Pleasant and helpful staff. We had a great time thanks.",['Leisure trip~Couple~Superior Room~Stayed 1 night']
Excellent budget choice in the centre of things :-),Vitebsk Hotel,8.1,United Kingdom,8.8,"No problems at all. All good.,

Excellent basic hotel and very good value for money. We had everything we needed and enjoyed the old 'Soviet atmosphere'. Beds are comfortable, bathroom is good enough with good shower and plenty of hot water. No frills or luxuries, but at this price we  have no complaints :-)Well located for enjoying Vitebsk. We enjoyed our stay and would return.",['Leisure trip~Family with young children~Standard Twin Room~Stayed 1 night']
"A nasty dirty hotel, worn out carpeting, dirty furnishings, lousy bathroom facility, never again!",Century Hotel Antwerpen Centrum,6.9,United States,3.8,"A completely different hotel!,

This was  the nastiest hotel I have seen anywhere and for bookings.com to advertise it is pathetic.do you not ever research the properties you advertise on your site? We had four rooms booked for 8 total people and we everyone arrived, two of the rooms were so deplorable our friends went next door to the Hampton Inn, we kept two rooms but the hotel had the audacity to charge us for all rooms anyway, to which I will dispute with my card company. I plan on never using booking.com to book rooms as the standards are less than adequate, to say the least!",['Leisure trip~Group~Comfort Twin~Stayed 1 night~Submitted via mobile']
Ypres delight,Interbellum,9.8,United Kingdom,10.0,"Only one bathroom and one toilet.  Perfect for a family, not so for two couples.,

Perfect location for exploring Ypres and the surrounding areas.The host (Sebastian) is very friendly, efficient and helpful.",['Leisure trip~Group~Apartment - Ground Floor~Stayed 2 nights']
"Stay was excellent, I have absolutely no complaints, I felt very good there and welcomed.",Alfa Inn,8.7,Belgium,10.0,"I liked everything really,

Room very clean and cosyPerfect location for me just 5 minutes between the train station and the beach.in a quiet, walking streetExcellent free wifiStaff very kind and helpfulExcellent and copious breakfast served in room due to covid restrictionsExtreme high value for the price",['Leisure trip~Solo traveller~Single Room~Stayed 1 night']
Good,Warwick Brussels - Grand Place,8.2,Malaysia,7.5,The location is Good,['Leisure trip~Group~Classic Queen Room~Stayed 2 nights~Submitted via mobile']
Superb,HOFMARKGRAAF - Unique apartment in historic Antwerp mansion,9.2,France,9.0,There are no comments available for this review,['Business trip~Solo traveller~Apartment~Stayed 1 night']
Recommended,Motel One Brussels,8.9,Italy,8.0,"There's no wardrobe, but only hooks,

I stayed only one night at Motel One, so I cannot say much. However, I can certainly state that room and bathroom were perfectly fine and extremely clean. Remarkable shower, thumbs up! Quality sleep. I particularly appreciated the fact of being hosted in a room facing the inner courtyard and not the street - which is a busy street. The hotel is well located, short walking distance from the central train station, metro stations and all amenities. Certainly recommended!",['Leisure trip~Solo traveller~Queen Room~Stayed 1 night']
Exceptional,Guesthouse Bxlroom,9.0,Saudi Arabia,10.0,Everything was great,['Leisure trip~Couple~Loft with Terrace and Garden View~Stayed 5 nights~Submitted via mobile']
First class - would definitely stay again.,The Plaza Hotel Antwerp,8.4,United Kingdom,10.0,"nothing!,

The reception staff’s attitude and approach - including an upgrade!Parking arrangementsBreakfast which was first class. Bar area with bar meals - no nearby restaurants due to a Jewish holiday",['Leisure trip~Couple~Superior Double or Twin Room~Stayed 1 night~Submitted via mobile']
"Great location, kind staff",Marivaux Hotel,8.5,Croatia,10.0,"The mixer tap in the bathroom should be cleaned thoroughly - it was clean but There was built limescald that needs stronger chemicals to be removed. That was the only flaw which I saw - and it leaves an ugly impression as you immediately think that the bathroom and the room are not cleaned properly. But after my thorough (and quite expert :-)) inspectoon, I couldn’t find any other sign of poor cleaning techniques. So, it’s just that it wasn’t cleaned properly at some time and the limescale got built at the parts if the tap that are harder to reach. That is what they need to improve. Everything else was really correct.,

A former cinema building turned into a hotel which explains the film memorabilia as the main decoration theme. The hotel is clean, the room was spacious, the bed and pillows were comfortable. They offered fancy toiletries in the bathroom, the staff is smiling and efficient.",['Business trip~Group~Standard Double or Twin Room~Stayed 2 nights~Submitted via mobile']
Exceptional,Tempor'area Apartment,9.7,Netherlands,10.0,There are no comments available for this review,['Business trip~Solo traveller~Apartment with Balcony~Stayed 2 nights']
Highly recommend if you plan to travel to Ypres and area. Central location is ideal.,Queen Astrid,9.7,Canada,10.0,The Queen Astrid is located in a great location close to the main square and the Menin Gates. Actual property is modern and very clean. Host was great and saw to all our needs. Property is ideal for family and another couple or two couples.,['Leisure trip~Family with young children~Two-Bedroom Townhouse~Stayed 3 nights']
Good hotel,Warwick Brussels - Grand Place,8.2,Turkey,7.5,"The room was very dark and the breakfast was too expensive. ,

Location was perfect very closed to the center",['Leisure trip~Couple~Premium Twin Room~Stayed 2 nights~Submitted via mobile']
